epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2720.44,1.29031,1.59344,1.36821,0.53861,0.18329,0.17294,0.10494,1.36085,1.73233,1.40176,0.00337773,0.00337773,0.00337773
43,2784.6,1.30109,1.62977,1.38289,0.44562,0.22842,0.17019,0.10218,1.33031,1.79477,1.38813,0.00330955,0.00330955,0.00330955
44,2848.61,1.27943,1.52376,1.34134,0.5982,0.21088,0.17385,0.10297,1.33939,1.71537,1.38258,0.00324082,0.00324082,0.00324082
45,2912.76,1.282,1.62028,1.36001,0.48403,0.20887,0.16263,0.09867,1.37714,1.75975,1.41772,0.00317161,0.00317161,0.00317161
46,2976.75,1.31401,1.59104,1.35617,0.67482,0.19302,0.16539,0.09881,1.32937,1.78367,1.4043,0.00310198,0.00310198,0.00310198
47,3040.77,1.27651,1.5441,1.34039,0.52027,0.23095,0.17412,0.10578,1.37474,1.76591,1.42961,0.003032,0.003032,0.003032
48,3105,1.26413,1.49787,1.33864,0.52657,0.24685,0.17768,0.10967,1.31109,1.76399,1.39624,0.00296174,0.00296174,0.00296174
49,3169.17,1.2525,1.49875,1.31488,0.59831,0.21802,0.18595,0.10772,1.28732,1.73095,1.3603,0.00289128,0.00289128,0.00289128
50,3233.78,1.26594,1.5435,1.32178,0.60739,0.23242,0.1806,0.10695,1.32962,1.71885,1.3899,0.00282067,0.00282067,0.00282067
51,3297.93,1.26772,1.50176,1.35716,0.5265,0.21657,0.19223,0.11713,1.34405,1.70131,1.40942,0.00275,0.00275,0.00275
52,3363.01,1.24566,1.45596,1.3285,0.60284,0.21555,0.19152,0.11258,1.32788,1.76503,1.40462,0.00267933,0.00267933,0.00267933
53,3428.09,1.23486,1.48295,1.32619,0.56377,0.19962,0.2694,0.12588,1.30748,1.72853,1.38968,0.00260872,0.00260872,0.00260872
54,3493.2,1.22169,1.44307,1.31309,0.53626,0.22049,0.1909,0.11622,1.2811,1.69848,1.3743,0.00253826,0.00253826,0.00253826
55,3557.75,1.19196,1.3985,1.27896,0.64375,0.1877,0.1824,0.10993,1.2989,1.71383,1.38081,0.002468,0.002468,0.002468
56,3622.06,1.24015,1.41916,1.32651,0.44978,0.2451,0.21609,0.12092,1.30407,1.69607,1.38511,0.00239802,0.00239802,0.00239802
57,3686.38,1.19207,1.41788,1.30349,0.69679,0.19726,0.18843,0.11565,1.32571,1.69952,1.40783,0.00232839,0.00232839,0.00232839
58,3750.85,1.18261,1.40205,1.28496,0.6014,0.24102,0.19861,0.11765,1.30971,1.71161,1.39959,0.00225918,0.00225918,0.00225918
59,3815.3,1.19524,1.38851,1.32333,0.44879,0.23573,0.21479,0.12437,1.29161,1.68065,1.38114,0.00219045,0.00219045,0.00219045
60,3879.51,1.16083,1.36889,1.27424,0.55488,0.23592,0.22655,0.13319,1.27981,1.65443,1.37973,0.00212227,0.00212227,0.00212227
61,3944.07,1.16739,1.38348,1.29209,0.56109,0.22447,0.22552,0.12641,1.25778,1.63825,1.37094,0.00205471,0.00205471,0.00205471
62,4007.75,1.17431,1.37571,1.28131,0.51262,0.23444,0.19969,0.12216,1.28217,1.69605,1.37939,0.00198784,0.00198784,0.00198784
63,4071.83,1.1633,1.34291,1.28249,0.63331,0.23083,0.23563,0.13673,1.27351,1.63524,1.3711,0.00192172,0.00192172,0.00192172
64,4136.62,1.14595,1.32665,1.2738,0.41533,0.23205,0.21353,0.12508,1.29857,1.66507,1.39433,0.00185642,0.00185642,0.00185642
65,4200.95,1.15392,1.31249,1.26477,0.32993,0.2157,0.20843,0.12511,1.25915,1.65977,1.40335,0.001792,0.001792,0.001792
66,4265.24,1.15895,1.31528,1.26993,0.52284,0.20542,0.19527,0.12278,1.24921,1.64342,1.35308,0.00172852,0.00172852,0.00172852
67,4329.65,1.12787,1.27243,1.26538,0.41507,0.24714,0.27072,0.14041,1.24248,1.63583,1.36047,0.00166605,0.00166605,0.00166605
68,4394.44,1.13005,1.28346,1.24805,0.66922,0.19913,0.21226,0.12742,1.27976,1.6933,1.39464,0.00160466,0.00160466,0.00160466
69,4459.39,1.1186,1.21406,1.22416,0.4114,0.24423,0.22112,0.13403,1.24344,1.61991,1.37482,0.00154439,0.00154439,0.00154439
70,4524.31,1.11559,1.25747,1.23996,0.4248,0.24966,0.29357,0.14018,1.24386,1.64923,1.38925,0.00148531,0.00148531,0.00148531
71,4588.9,1.09395,1.23589,1.24898,0.58614,0.22821,0.24872,0.14289,1.25326,1.66574,1.37746,0.00142748,0.00142748,0.00142748
72,4653.89,1.08006,1.18462,1.2181,0.41771,0.32936,0.2709,0.15706,1.26952,1.65203,1.38392,0.00137096,0.00137096,0.00137096
73,4717.9,1.08107,1.21586,1.22216,0.57183,0.28485,0.27697,0.13851,1.26307,1.63744,1.40916,0.0013158,0.0013158,0.0013158
74,4781.83,1.09355,1.20794,1.23731,0.50183,0.27956,0.28274,0.15695,1.26817,1.68136,1.38285,0.00126205,0.00126205,0.00126205
75,4845.84,1.10942,1.2217,1.25787,0.51408,0.26348,0.2862,0.14559,1.27889,1.66368,1.38943,0.00120977,0.00120977,0.00120977
76,4910.29,1.09101,1.18292,1.22325,0.63031,0.30682,0.27774,0.15305,1.25412,1.70218,1.37409,0.00115901,0.00115901,0.00115901
77,4974.46,1.08983,1.16459,1.21425,0.3809,0.2889,0.28373,0.16416,1.25337,1.64219,1.39398,0.00110982,0.00110982,0.00110982
78,5038.46,1.06803,1.17429,1.22795,0.39966,0.34403,0.2472,0.146,1.26056,1.61061,1.40406,0.00106225,0.00106225,0.00106225
79,5102.56,1.08424,1.15333,1.21748,0.5875,0.2778,0.29187,0.18953,1.24653,1.61104,1.40167,0.00101635,0.00101635,0.00101635
80,5167.07,1.06044,1.15176,1.21987,0.63681,0.2907,0.2942,0.17762,1.24436,1.66049,1.39296,0.000972151,0.000972151,0.000972151
81,5231.52,1.04759,1.13389,1.20863,0.57584,0.28518,0.29979,0.18389,1.25305,1.59701,1.39239,0.000929712,0.000929712,0.000929712
82,5296,1.05284,1.12074,1.22087,0.2801,0.37008,0.2913,0.15693,1.24683,1.58529,1.38742,0.000889069,0.000889069,0.000889069
83,5360.06,1.0569,1.08685,1.22611,0.6583,0.30565,0.29209,0.16206,1.26075,1.679,1.40571,0.000850262,0.000850262,0.000850262
84,5423.97,1.04579,1.07616,1.19816,0.65817,0.27601,0.291,0.16083,1.22761,1.64874,1.37962,0.00081333,0.00081333,0.00081333
85,5488.4,1.04666,1.10718,1.20449,0.25753,0.36205,0.27309,0.1452,1.23962,1.64922,1.41595,0.00077831,0.00077831,0.00077831
86,5553,1.02058,1.08764,1.19652,0.65842,0.26282,0.29239,0.18005,1.237,1.62141,1.39664,0.000745235,0.000745235,0.000745235
87,5617.33,1.00258,1.07073,1.18419,0.64053,0.28009,0.29246,0.15674,1.22709,1.61263,1.37636,0.000714139,0.000714139,0.000714139
